itemid,name,sell_single,buy_single,price_single,stock_single,sell_rate_single,buy_rate_single,sell_stacks,buy_stacks,price_stacks,stock_stacks,sell_rate_stacks,buy_rate_stacks
2,Simple Bed,1,1,2000,1,0.2,0.25,0,1,0,0,0,0
3,Oak Bed,1,1,30000,1,0.2,0.25,0,1,0,0,0,0
4,Mahogany Bed,1,1,90000,1,0.2,0.25,0,1,0,0,0,0
5,Bronze Bed,1,1,11000,1,0.2,0.25,0,1,0,0,0,0
6,Noble's Bed,1,1,250000,1,0.1,0.25,0,1,0,0,0,0
8,Royal Bed,1,1,500000,1,0.05,0.25,0,1,0,0,0,0
21,Desk,1,1,23500,1,0.0934,0.25,0,1,0,0,0,0
22,Workbench,1,1,3000,1,0.2,0.25,0,1,0,0,0,0
23,Maple Table,1,1,1500,1,0.2,0.25,0,1,0,0,0,0
24,Oak Table,1,1,25000,1,0.2,0.25,0,1,0,0,0,0
26,Tarutaru Desk,1,1,14000,1,0.2,0.25,0,1,0,0,0,0
29,Secretaire,1,1,33000,1,0.2,0.25,0,1,0,0,0,0
30,Bureau,1,1,100000,1,0.1,0.25,0,1,0,0,0,0
32,Dresser,1,1,100000,1,0.1,0.25,0,1,0,0,0,0
33,Millionaire Desk,1,1,200000,1,0.1,0.25,0,1,0,0,0,0
43,Wicker Box,1,1,10000,1,0.2,0.25,0,1,0,0,0,0
46,Armor Box,1,1,13000,1,0.2,0.25,0,1,0,0,0,0
49,Coffer,1,1,25000,1,0.2,0.25,0,1,0,0,0,0
51,Chest,1,1,3000,1,0.2,0.25,0,1,0,0,0,0
55,Cabinet,1,1,22000,1,0.2,0.25,0,1,0,0,0,0
56,Commode,1,1,35000,1,0.2,0.25,0,1,0,0,0,0
59,Chiffonier,1,1,40000,1,0.2,0.25,0,1,0,0,0,0
61,Armoire,1,1,100000,1,0.1,0.25,0,1,0,0,0,0
76,Royal Bookshelf,1,1,65000,1,0.18,0.25,0,1,0,0,0,0
77,Bookshelf,1,1,50000,1,0.2,0.25,0,1,0,0,0,0
86,San D'Orian Tree,1,1,20000,1,0.01,0.25,0,1,0,0,0,0
87,Kadomatsu,1,1,5000,1,0.2,0.25,0,1,0,0,0,0
90,Rusty Bucket,1,1,200,1,0.2,0.25,0,1,0,0,0,0
91,Blue Pitcher,1,1,10000,1,0.01,0.25,0,1,0,0,0,0
92,Tarutaru Stool,1,1,980,2,0.3,0.25,0,1,0,0,0,0
93,Water Cask,1,1,1000,1,0.2,0.25,0,1,0,0,0,0
95,Water Barrel,1,1,10000,1,0.2,0.25,0,1,0,0,0,0
96,Beverage Barrel,1,1,25000,1,0.2,0.25,0,1,0,0,0,0
97,Book Holder,1,1,3150,1,0.1403,0.25,0,1,0,0,0,0
98,Scimitar Cactus,1,1,32000,1,0.0969,0.25,0,1,0,0,0,0
99,Elshimo Palm,1,1,18500,1,0.0741,0.25,0,1,0,0,0,0
100,Okadomatsu,1,1,5500,1,0.05,0.25,0,1,0,0,0,0
102,Flower Stand,1,1,2350,1,0.1243,0.25,0,1,0,0,0,0
103,Goldfish Bowl,1,1,100000,1,0.01,0.25,0,0,0,0,0,0
104,Taru F. Screen,1,1,5000,1,0.2,0.25,0,1,0,0,0,0
107,Water Jug,1,1,1000,1,0.2,0.25,0,1,0,0,0,0
109,Urn,0,1,10000,1,0,0.25,0,1,0,0,0,0
110,White Jar,1,1,5000,1,0.2,0.25,0,1,0,0,0,0
112,Yellow Jar,1,1,1000,1,0.2,0.25,0,1,0,0,0,0
113,Cleaning Tool Set,1,1,8000,1,0.05,0.25,0,1,0,0,0,0
115,Bastokan Tree,1,1,20000,1,0.01,0.25,0,1,0,0,0,0
116,Windurstian Tree,1,1,20000,1,0.01,0.25,0,1,0,0,0,0
120,F. Aquarium,1,1,50000,1,0.1,0.25,0,1,0,0,0,0
121,S. Aquarium,1,1,50000,1,0.1,0.25,0,1,0,0,0,0
122,Amir Bed,1,1,150000,1,0.1,0.25,0,1,0,0,0,0
123,Athenienne,1,1,31000,1,0.2,0.25,0,1,0,0,0,0
124,Wardrobe,1,1,80000,1,0.2,0.25,0,1,0,0,0,0
125,Reliquary,1,1,100000,1,0.15,0.25,0,1,0,0,0,0
126,Falsiam Vase,1,1,74500,1,0.1005,0.25,0,1,0,0,0,0
127,Coffee Table,1,1,130000,1,0.15,0.25,0,0,0,0,0,0
128,Console,1,1,35000,1,0.2,0.25,0,0,0,0,0,0
130,Marble Bed,1,1,110000,1,0.2,0.25,0,0,0,0,0,0
132,Tableware Set,1,1,25000,1,0.1,0.25,0,0,0,0,0,0
133,Tea Set,1,1,25000,1,0.1,0.25,0,0,0,0,0,0
135,Magic Tome Set,0,1,5000,1,0,0.25,0,0,0,0,0,0
139,Star Globe,1,1,75000,1,0.2,0.25,0,0,0,0,0,0
143,Ngoma,1,1,38000,1,0.2,0.25,0,0,0,0,0,0
144,Caisson,1,1,10000,1,0.2,0.25,0,0,0,0,0,0
145,Thurible,1,1,180000,1,0.05,0.25,0,0,0,0,0,0
146,Walahra Burner,1,1,90000,1,0.2,0.25,0,0,0,0,0,0
147,Imperial Tapestry,1,1,150000,1,0.1,0.25,0,0,0,0,0,0
148,Cartonnier,1,1,50000,1,0.2,0.25,0,0,0,0,0,0
149,Alchemist's Tools,1,1,150000,1,0.1,0.25,0,0,0,0,0,0
150,Leather Pot,1,1,100000,1,0.15,0.25,0,0,0,0,0,0
152,Flowerpot,0,1,50,1,0,0.25,0,0,0,0,0,0
185,Rook Banner,1,1,300000,1,0.1,0.25,0,0,0,0,0,0
186,Shield Plaque,1,1,115000,1,0.2,0.25,0,0,0,0,0,0
187,Buckler Plaque,1,1,115400,1,0.2,0.25,0,0,0,0,0,0
